Init complete
3985 0.00 0.00
3992 0.00 0.00
3998 0.00 0.00
4004 10.00 0.00
4011 10.00 0.00
4018 10.00 0.28
4024 10.00 0.87
4031 10.00 1.44
4038 10.00 2.08
4044 10.00 2.78
4051 10.00 3.34
4057 10.00 3.97
4064 10.00 4.20
4071 10.00 4.66
4077 10.00 5.12
4084 10.00 5.58
4089 10.00 5.76
4097 10.00 5.63
4104 10.00 5.90
4110 10.00 6.11
4117 10.00 6.28
4123 10.00 6.32
4129 10.00 6.45
4136 10.00 6.28
4143 10.00 6.51
4150 10.00 6.69
4156 10.00 6.84
4163 10.00 6.96
4170 10.00 6.96
4176 10.00 7.05
4184 10.00 7.22
4190 10.00 7.26
4197 10.00 7.11
4203 10.00 7.26
4209 10.00 6.93
4216 10.00 7.03
4224 10.00 7.20
4230 10.00 7.15
4236 10.00 7.02
4243 10.00 7.01
4250 10.00 7.00
4257 10.00 7.09
4263 10.00 7.25
4271 10.00 7.19
4276 10.00 7.24
4283 10.00 7.00
4290 10.00 7.18
4297 10.00 7.32
4303 10.00 7.34
4311 10.00 7.17
4316 10.00 7.22
4323 10.00 6.89
4330 10.00 7.28
4336 10.00 7.31
4343 10.00 7.33
4348 10.00 7.44
4356 10.00 7.35
4363 10.00 7.36
4370 10.00 7.38
4376 10.00 7.39
4383 10.00 7.30
4388 10.00 7.42
4396 10.00 7.05
4403 10.00 7.13
4409 10.00 7.28
4416 10.00 7.22
4422 10.00 7.26
4429 10.00 7.20
4436 10.00 7.24
4443 10.00 7.28
4450 10.00 7.40
4457 10.00 7.31
4462 10.00 7.34
4469 10.00 6.98
4476 10.00 7.17
4483 10.00 7.31
4490 10.00 7.33
4496 10.00 7.17
4503 10.00 7.22
4510 10.00 7.26
4517 10.00 7.39
4524 10.00 7.39
4531 10.00 7.31
4536 10.00 7.33
4543 10.00 6.98
4550 10.00 7.07
4557 10.00 7.23
4563 10.00 7.27
4571 10.00 7.30
4576 10.00 7.33
4583 10.00 6.88
4590 10.00 6.99
4596 10.00 7.17
4603 10.00 7.50
4611 10.00 7.49
4618 10.00 7.47
4625 10.00 7.47
4631 10.00 7.55
4638 10.00 7.53
4645 10.00 7.60
4653 10.00 7.56
4660 10.00 7.54
4666 10.00 7.51
4670 10.00 7.59
4677 10.00 6.81
4684 10.00 6.94
4691 10.00 7.04
4699 10.00 7.21
4705 10.00 7.34
4712 10.00 7.36
4719 10.00 7.37
4726 10.00 7.48
4733 10.00 7.47
4740 10.00 7.46
4747 10.00 7.36
4754 10.00 7.37
4761 10.00 7.48
4768 10.00 7.56
4774 10.00 7.81
4782 10.00 7.73
4789 10.00 7.77
4796 10.00 7.70
4803 10.00 7.64
4809 10.00 7.60
4816 10.00 7.57
4824 10.00 7.91
4831 10.00 7.72
4838 10.00 7.66
4845 10.00 7.61
4851 10.00 7.58
4858 10.00 7.64
4866 10.00 7.60
4873 10.00 7.56
4880 10.00 7.54
4886 10.00 7.51
4893 10.00 7.59
4900 10.00 7.56
4908 10.00 7.53
4915 10.00 7.60
4922 10.00 7.66
4928 10.00 7.61
4935 10.00 7.58
4942 10.00 7.55
4950 10.00 7.52
4957 10.00 7.60
4963 10.00 7.56
4970 10.00 7.54
4977 10.00 7.51
4984 10.00 7.50
4992 10.00 7.58
4998 10.00 7.55
5005 10.00 7.61
5012 10.00 7.58
5019 10.00 7.55
5026 10.00 7.62
5033 10.00 7.67
5040 10.00 7.72
5047 10.00 7.75
5051 10.00 7.69
5058 10.00 6.98
5065 10.00 7.07
5072 10.00 7.14
5079 10.00 7.11
5086 10.00 7.26
5093 10.00 7.30
5100 10.00 7.42
5107 10.00 7.51
5114 10.00 7.59
5121 10.00 7.55
5128 10.00 7.53
5135 10.00 7.51
5142 10.00 7.49
5149 10.00 7.57
5155 10.00 7.54
5163 10.00 7.52
5170 10.00 7.59
5177 10.00 7.65
5184 10.00 7.61
5190 10.00 7.57
5197 10.00 7.64
5204 10.00 7.69
5212 10.00 7.73
5219 10.00 7.76
5226 10.00 7.79
5232 10.00 7.71
5239 10.00 7.66
5246 10.00 7.61
5252 10.00 7.57
5259 10.00 7.08
5263 10.00 7.15
5269 10.00 6.65
5273 10.00 6.80
5280 10.00 6.19
5287 10.00 6.43
5295 10.00 6.63
5301 10.00 6.88
5308 10.00 6.99
5315 10.00 7.17
5322 10.00 7.41
5329 10.00 7.41
5336 10.00 7.42
5340 10.00 7.51
5347 10.00 6.75
5350 10.00 6.89
5357 10.00 6.25
5364 10.00 6.49
5371 10.00 6.86
5379 10.00 6.97
5386 10.00 7.25
5392 10.00 7.29
5399 10.00 7.41
5406 10.00 7.41
5413 10.00 7.51
5421 10.00 7.58
5427 10.00 7.55
5434 10.00 7.62
5438 10.00 7.58
5445 10.00 6.81
5452 10.00 7.02
5458 10.00 7.20
5466 10.00 7.34
5473 10.00 7.35
5480 10.00 7.37
5487 10.00 7.38
5493 10.00 7.39
5500 10.00 7.49
5508 10.00 7.38
5515 10.00 7.58
5522 10.00 7.46
5529 10.00 7.45
5535 10.00 7.45
5542 10.00 7.44
5550 10.00 7.44
5554 10.00 7.44
5561 10.00 6.60
5567 10.00 6.76
5574 10.00 6.99
5581 10.00 7.17
5588 10.00 7.22
5596 10.00 7.36
5602 10.00 7.28
5609 10.00 7.40
5616 10.00 7.41
5623 10.00 7.41
5630 10.00 7.51
5637 10.00 7.49
5641 10.00 7.48
5648 10.00 6.72
5655 10.00 6.87
5662 10.00 7.07
5669 10.00 7.23
5676 10.00 7.37
5683 10.00 7.47
5690 10.00 7.55
5697 10.00 7.62
5704 10.00 7.58
5709 10.00 7.64
5715 10.00 7.14
5720 10.00 7.29
5727 10.00 6.76
5734 10.00 6.89
5741 10.00 7.09
5748 10.00 7.25
5754 10.00 7.29
5762 10.00 7.41
5769 10.00 7.41
5775 10.00 7.41
5782 10.00 7.42
5789 10.00 7.51
5796 10.00 7.68
5804 10.00 7.63
5810 10.00 7.59
5817 10.00 7.56
5824 10.00 7.53
5831 10.00 7.60
5837 10.00 7.57
5844 10.00 7.54
5849 10.00 7.61
5856 10.00 6.92
5863 10.00 7.02
5869 10.00 7.10
5876 10.00 7.17
